victim.country.,actor.external.country.,actor.partner.country.,action.hacking.vector.,action.malware.vector.,action.misuse.vector.,action.physical.vector.,action.social.vector.,victim.industry2.
US,,,,,LAN access,,,92
US,,,,,Unknown,,,92
US,Unknown,,,,,Unknown,,92
US,Unknown,,,,,Unknown,,62
CA,,,,,,,,62
GB,GB,,Web application,,,,,81
US,,,,,LAN access,,,52
AE,RU,,Backdoor or C2,Email attachment,,,Email,92
US,Other,,Unknown,,,,,42
IL,Unknown,,Unknown,,,,,81
US,,,,,LAN access,,,62
US,,Unknown,,,,,,61
US,,,,,,,,92
IE,,,,,,,,92
US,,,,,,,,52
US,Unknown,,,,,Partner facility,,62
US,,,,,,,,21
JP,Unknown,,Unknown,,,,,51
US,Unknown,,,,,,,52
US,,,,,LAN access,,,56
US,,,,,,,,92
US,,,,,LAN access,,,56
CA,,,,,,,,62
AU,Unknown,,,Unknown,,,,62
US,,,,,Unknown,,,61
US,,,,,,,,61
US,,,,,,,,92
US,US,,Unknown,,,,,51
DE,Unknown,,Unknown,,,,,51
US,Unknown,,Unknown,,,,,42
US,SA,,Unknown,,,,,92
US,Unknown,,,Unknown,,,,62
US,Unknown,,Web application,Unknown,,,,42
US,,,,,,,,92
CA,,,,,LAN access,,,62
US,Unknown,,Unknown,,,,,62
US,Unknown,,,Unknown,,,,62
US,Unknown,,,,,Public vehicle,,92
US,,,,,LAN access,,,92
SE,Other,,Unknown,,,,Other,33
US,,,,,LAN access,,,62
US,Unknown,,,Unknown,,,,62
US,,,,,Other,,,52
CA,,,,,,,,62
US,Unknown,,Web application,,,,,51
US,US,,,,,Victim work area,,92
GU,,,,,Physical access,,,45
US,Unknown,,,Unknown,,,,62
US,,,,,,,,92
US,,,,,,,,92
US,,,Physical access,,,,,62
US,,,,,,,,92
GB,,GB,,,LAN access,,,52
US,Unknown,,,,,Unknown,,42
US,,,,,Physical access,,,61
US,US,,,,,Victim grounds,,44
US,,,,,Unknown,,,92
US,Unknown,,,,,Unknown,,33
US,,,,,,,,92
AU,,,,,,,,92
UZ,Unknown,,Web application,,,,,51
CA,,,,,,,,92
US,,,,,LAN access,,,62
US,,,,,,,,52
US,,,,,,,,81
US,,,,,,,,92
US,US,,,,LAN access,,Unknown,54
US,Unknown,,Web application,,,,,54
GB,,,,,,,,71
CA,,,,,,,,61
US,Unknown,,Unknown,,,,,72
US,,,,,,,,62
RO,Unknown,,Backdoor or C2,Email attachment,,,Email,92
IE,Unknown,,,,,Personal vehicle,,71
US,,,,,,,,62
US,,,,,,,,92
US,US,,Unknown,Direct install,,,,61
US,Unknown,,,,,Victim work area,,92
US,,,,,,,,00
US,,US,,,,,,52
US,,US,,,,,,52
GB,Unknown,,Unknown,,,,,62
US,Unknown,Unknown,,,,Personal vehicle,,92
US,,,,,LAN access,,,92
US,,,,,,,,62
US,Unknown,,,,,Partner facility,,44
US,Unknown,,Web application,,,,,51
US,,,,,,,,72
US,Unknown,,,,,Victim work area,,62
US,,,,,Physical access,,,44
US,,,,,LAN access,,,62
US,Unknown,,Unknown,,,,,62
TT,Unknown,,,,,Public facility,,52
US,,,,,LAN access,,,42
US,,,,,LAN access,,,54
US,Unknown,,Unknown,,,,,61
US,Unknown,,,,,Victim work area,,62
US,Unknown,,Unknown,,,,,92
US,,Unknown,,,LAN access,,,44
US,Unknown,,Unknown,,,,,62
US,Unknown,,,,,Victim public area,,44
US,,,,,Physical access,,,62
US,Unknown,,,,,Victim work area,,62
US,,US,,,Physical access,,,52
US,,,,,,,,62
US,Unknown,,,,,Victim grounds,,62
US,Unknown,,,,,Unknown,,62
US,US,,,,,Victim public area,,44
CY,Unknown,,Web application,,,,,52
GB,Unknown,,,,,Victim public area,,45
US,,,,,,,,62
US,,,,,,,,92
CA,,,,,LAN access,,,62
US,,,,,,,,52
US,Unknown,,,,,Unknown,,52
US,Unknown,,,,,Victim grounds,,44
US,Unknown,,Unknown,,,,,51
US,,,,,,,,52
Unknown,US,,Web application,,,,,00
US,,,,,LAN access,,,61
US,,,,,,,,92
US,Unknown,,Backdoor or C2,Unknown,,,,62
US,Unknown,,,,,Partner vehicle,,92
CN,,CN,,,LAN access,,,56
CA,,,,,LAN access,,,62
US,Unknown,,Unknown,,,,,62
US,Unknown,,Web application,,,,,62
